dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,icq,nof,nom,wmc,gc,rb
4,1,6,0.0,0.5925926,39,0,12,0,3,9,10,0,0
4,2,7,0.0,0.0,18,0,6,0,0,4,6,0,0
1,0,0,0.0,1.0,56,0,0,3,4,4,4,0,0
1,1,0,0.0,0.0,4,0,0,0,0,2,2,0,0
3,3,5,0.0,0.0,16,0,7,0,0,4,4,0,0
1,0,0,0.0,0.0,22,0,0,0,0,2,2,0,0
1,0,1,-1.0,,5,0,0,0,3,0,0,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
3,0,1,0.0,0.0,6,0,0,0,0,2,2,0,0
4,1,9,0.0,0.74999994,106,0,10,1,8,6,27,0,0
1,0,1,0.0,1.0,75,0,1,2,1,4,6,0,0
1,0,0,-1.0,0.0,4,0,0,0,0,1,1,0,0
4,2,9,0.0,0.83116883,83,0,14,1,7,11,21,0,0
3,5,13,0.0,0.8999999,225,0,32,1,13,10,34,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,0,0,0.0,0.0,22,0,0,0,0,5,7,0,0
1,1,4,,0.0,12,0,8,0,0,2,2,0,0
3,148,9,0.0,0.8888889,71,144,27,1,3,9,10,0,0
1,0,0,,0.0,4,0,0,0,1,1,1,0,0
3,17,6,0.0,0.88095236,79,14,18,0,3,14,24,0,0
1,0,0,,0.0,5,0,1,0,0,1,1,0,0
1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,3,0,0,0,0,0,0,0,0
2,0,1,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,0.0,0.5,25,0,1,0,2,2,2,0,0
1,0,0,0.0,0.0,32,0,1,3,0,6,6,0,0
5,2,8,0.0,0.0,44,0,17,0,0,3,15,0,0
1,3,8,0.0,0.0,62,0,15,0,1,5,17,0,0
1,6,10,0.0,0.9347826,86,0,12,0,2,23,27,0,0
5,4,7,0.0,0.0,19,0,6,0,0,4,5,0,0
2,4,5,0.0,0.76000005,123,0,29,0,5,10,31,0,0
1,0,0,-1.0,,5,0,0,0,3,0,0,0,0
2,1,4,0.0,0.33333334,17,0,3,0,2,3,4,0,0
1,0,0,0.0,0.0,8,0,0,0,1,2,2,0,0
5,1,2,0.0,0.6666667,12,0,0,0,1,3,3,0,0
1,0,0,,0.0,3,0,0,0,0,1,1,0,0
1,2,0,-1.0,,5,0,0,0,3,0,0,0,0
1,0,0,-1.0,,5,0,0,0,3,0,0,0,0
1,3,2,0.0,0.75,20,2,4,0,1,4,6,0,0
4,2,8,0.0,0.8,100,0,27,0,5,14,32,0,0
1,1,2,0.0,0.45,58,0,6,1,2,10,11,0,0
4,1,4,0.0,0.5555556,29,0,1,0,3,6,8,0,0
1,0,0,0.0,0.0,10,0,0,0,0,4,14,0,0
4,3,9,0.0,0.6666667,79,2,18,0,3,9,21,0,0
1,0,0,0.0,0.625,20,0,0,0,7,2,4,0,0
2,1,3,0.0,0.0,25,0,5,0,0,4,4,0,0
1,0,3,,0.0,14,0,8,0,0,1,3,0,0
1,3,3,0.0,0.8333333,130,0,10,2,3,6,16,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,61,0,0,2,0,20,20,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,0,0,-1.0,0.0,8,0,0,0,0,0,0,0,0
2,7,3,,0.0,5,4,0,0,0,1,1,0,0
2,0,4,0.0,0.0,12,0,3,0,0,2,2,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,3,1,0.0,0.0,12,0,1,0,1,2,3,0,0
1,0,4,0.0,0.1,30,0,6,0,2,5,5,0,0
4,2,8,0.0,0.87878793,89,0,19,0,3,11,31,0,0
1,0,0,-1.0,,6,0,0,0,4,0,0,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
4,2,7,0.0,0.0,52,0,14,0,0,3,20,0,0
1,0,0,,0.0,42,0,0,0,1,1,12,0,0
1,0,0,-1.0,0.33333334,14,0,0,0,2,3,3,0,0
1,0,0,,0.0,3,0,0,0,0,1,1,0,0
2,0,1,,0.0,6,0,1,0,1,1,1,0,0
5,2,5,0.0,0.0,21,0,9,0,0,4,6,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,0.0,0.0,45,0,0,0,1,3,3,0,0
1,0,1,,0.0,3,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,4,0.0,0.0,36,0,4,0,0,2,9,0,0
2,0,4,0.0,0.0,29,0,4,0,0,4,4,0,0
1,0,0,0.0,0.0,16,0,0,0,0,3,3,0,0
1,3,5,0.0,0.75,24,3,0,0,2,8,8,0,0
1,3,1,0.0,0.5,17,0,2,0,2,4,5,0,0
5,1,1,,0.0,5,0,0,0,0,1,1,0,0
7,1,4,0.0,0.0,14,0,4,0,0,3,5,0,0
1,26,8,0.0,0.8650794,112,0,35,0,7,18,31,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
2,0,4,0.0,0.0,23,0,4,0,0,3,3,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
2,2,7,0.0,0.72727275,41,0,8,0,1,11,12,0,0
1,0,0,0.0,0.0,12,0,0,0,0,5,5,0,0
5,2,7,0.0,0.75,42,0,14,0,1,8,13,0,0
2,0,4,0.0,0.0,22,0,3,0,0,4,4,0,0
1,0,0,0.0,0.0,8,0,1,0,0,2,4,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,2,0.0,0.3,21,0,4,0,2,5,5,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
2,0,4,0.0,0.0,101,0,6,0,0,14,14,0,0
2,1,6,0.0,0.0,22,0,5,0,1,5,6,0,0
2,0,0,0.0,0.0,11,0,3,0,0,2,3,0,0
1,0,0,0.0,0.0,43,0,0,0,0,2,8,0,0
1,0,0,0.0,0.0,24,0,0,0,0,4,4,0,0
1,0,0,0.0,0.0,61,0,0,0,0,3,16,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
